27,78,44,50,73,51,12,19,13,14,19,18,19,12,8,23,17,9,6,7,8,18,20,1,5,19,7,13,6,6,6,15,4,6,7,4,5,15,2,1,1,4,3,0,2,2,7,1,10,1,3,5,9,2,8,0,2,4,3,0,5,13,4,2,3,1,1,1,3,2,10,3,3,1,4,1,2,5,2,1,1,0,0,1,0,0,3,1,0,3,1,0,3,2,0,0,3,5,1,6
66,55,75,73,34,16,24,26,18,41,16,16,1,7,3,7,3,17,1,20,19,5,13,0,8,4,4,11,15,8,2,3,11,1,6,5,9,17,8,9,1,18,17,5,14,0,3,8,14,1,19,1,7,3,18,0,3,8,9,14,10,5,12,4,5,7,6,2,2,5,6,8,4,2,0,3,4,0,7,2,0,9,5,1,6,6,4,0,1,6,2,1,37,9,0,0,6,19,5,1
32,54,20,17,33,25,6,9,8,15,7,3,8,8,3,3,6,4,3,3,7,5,2,5,10,5,4,5,0,3,4,4,1,4,1,7,1,4,1,0,3,7,2,8,1,1,2,2,4,7,2,1,2,2,3,2,5,1,5,1,1,1,2,0,1,0,1,0,6,0,1,1,4,1,1,0,1,2,2,0,5,1,4,0,0,3,1,0,1,1,2,2,2,1,0,1,8,3,1,2
44,43,19,9,40,17,16,15,10,33,3,0,2,3,1,5,3,2,1,5,9,0,7,0,2,2,2,3,8,3,0,1,3,0,3,5,2,13,5,0,1,4,1,1,2,1,2,1,3,1,4,4,2,0,1,0,4,3,2,2,4,1,3,0,0,3,3,1,9,1,0,1,3,2,0,0,1,3,1,1,0,3,2,0,0,4,2,1,1,2,1,2,2,1,0,0,20,10,3,1
52,32,19,12,12,25,4,7,5,6,8,0,28,8,15,9,16,1,11,5,6,6,2,7,27,9,15,2,2,3,9,4,2,5,2,3,2,2,2,1,3,2,0,11,2,1,3,0,1,5,1,2,0,0,2,6,3,1,3,1,2,3,0,0,2,1,0,2,3,0,1,2,4,0,3,1,0,1,1,1,0,1,2,0,0,0,0,1,1,2,0,2,2,1,0,2,0,0,0,3
30,39,22,27,47,10,23,20,28,20,23,47,4,6,1,11,4,7,1,7,15,18,9,4,6,20,1,14,1,7,1,9,17,3,26,2,8,6,3,1,0,12,3,0,3,1,2,2,9,2,3,8,3,5,3,2,1,2,2,1,4,0,9,0,2,5,3,1,1,4,13,2,2,1,6,2,5,0,0,4,0,4,2,1,2,1,3,1,0,3,1,0,5,2,0,3,3,2,2,4
16,19,18,16,4,10,15,7,22,0,3,1,0,8,0,5,1,0,0,3,1,0,10,0,0,2,0,5,43,5,0,0,22,2,2,2,2,1,5,1,1,0,3,0,7,0,1,3,0,0,1,1,0,1,1,0,0,8,1,1,0,0,10,0,3,1,16,2,1,6,1,1,5,7,0,0,2,0,2,0,0,2,5,6,9,4,2,0,0,6,1,0,7,1,0,2,2,2,6,0
19,26,18,17,14,8,7,2,4,13,2,0,1,0,1,3,3,3,0,1,3,1,5,0,1,1,1,3,3,9,0,2,2,0,1,1,3,2,2,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,1,2,2,2,0,0,0,0,1,1,2,1,1,1,3,0,1,1,2,9,1,1,4,4,1,0,0,1,0,1,0,1,0,1,4,0,0,0,2,18,0,0
6,2,0,1,1,6,17,1,5,0,0,0,0,2,0,1,0,0,0,1,2,0,6,0,0,1,0,0,6,1,0,0,7,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,2,0,0,0,4,0,0,2,0,2,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1
30,116,34,27,18,40,23,23,7,2,17,47,3,3,1,6,5,16,2,0,15,4,5,2,3,5,6,16,12,3,0,4,4,0,20,1,19,4,3,8,0,5,3,3,8,1,1,11,12,2,12,7,1,3,1,1,3,18,0,9,1,3,5,6,1,29,3,7,1,9,18,11,1,3,1,10,5,0,14,8,1,5,1,0,6,6,0,0,0,6,7,1,3,6,0,3,3,8,1,0
