494,609,630,433,536,360,192,774,107,141,293,392,502,109,58,174,163,36,340,584,100,491,550,139,116,141,278,491,551,301,227,73,196,67,158,304,95,58,80,572
554,354,340,474,385,582,357,500,236,347,232,269,663,182,74,299,200,64,547,355,144,201,355,311,102,310,150,554,316,234,195,196,327,140,160,216,115,98,81,299
667,276,146,203,150,276,172,341,114,199,189,168,200,103,114,99,261,87,153,281,135,251,278,98,56,106,112,198,255,422,82,63,150,63,136,214,124,56,91,281
397,431,251,160,216,403,376,238,334,472,137,132,254,309,123,196,296,90,170,215,298,143,201,182,23,166,96,206,194,371,62,122,210,153,104,162,143,135,201,129
447,355,193,205,137,263,137,589,90,99,221,218,192,63,112,93,239,61,174,173,72,261,260,61,72,86,149,186,399,379,113,56,129,48,174,240,140,44,47,184
344,437,311,332,283,252,226,470,109,152,209,230,580,98,57,214,91,43,455,361,69,214,264,212,103,221,126,462,323,146,200,141,383,75,118,148,63,50,24,310
158,322,139,405,120,204,625,106,369,477,65,65,108,451,173,598,228,216,111,69,174,57,65,178,20,300,33,88,86,226,60,175,204,333,74,64,284,397,142,53
1287,619,511,264,661,537,159,360,91,132,609,566,589,74,94,123,190,59,508,838,82,1144,861,129,147,132,546,747,914,368,255,98,139,61,341,597,162,60,46,440
91,213,104,233,73,119,306,67,98,278,32,36,61,116,85,179,128,85,62,42,146,29,39,123,11,123,23,59,44,133,25,126,112,178,40,44,119,173,63,37
167,445,185,479,122,230,510,111,284,119,72,56,98,132,77,216,141,96,76,68,149,52,65,120,17,152,34,66,76,166,34,177,169,140,51,57,95,116,127,68
253,222,263,118,246,193,83,494,46,59,72,161,112,45,63,48,123,42,105,149,25,209,204,48,69,63,96,107,271,231,101,31,79,37,69,227,115,36,44,151
468,301,202,118,247,232,49,512,28,37,215,1071,197,31,50,51,72,18,143,348,22,850,1253,36,367,55,311,582,345,118,646,24,68,20,142,233,70,12,19,217
819,661,225,236,213,578,162,576,96,124,179,241,453,61,39,138,82,36,530,617,45,366,520,134,75,111,310,880,299,112,164,85,220,51,105,116,62,44,22,296
105,244,121,298,83,107,334,74,117,128,27,27,60,84,121,212,192,91,56,46,121,40,39,94,8,124,25,49,77,149,27,125,123,144,45,59,106,102,86,42
68,64,126,114,107,49,138,69,101,76,46,31,29,120,123,102,434,132,23,33,56,49,34,36,8,55,13,32,83,385,17,52,41,48,91,125,536,68,69,21
118,305,87,217,84,202,567,95,195,209,34,59,94,215,79,228,96,70,113,76,82,36,57,148,37,237,25,96,47,103,62,91,183,179,44,50,93,129,84,38
184,196,278,291,297,92,196,128,167,141,100,85,69,161,509,125,509,347,57,78,112,128,82,105,12,126,36,48,191,773,23,95,85,66,175,342,902,101,113,49
42,57,67,84,57,22,172,30,93,72,14,21,27,70,111,54,283,45,19,18,54,32,22,20,2,35,7,14,39,230,10,32,30,46,41,65,209,76,81,13
349,464,156,133,171,429,124,438,67,65,111,163,447,61,34,143,74,24,246,354,28,188,237,158,89,113,131,675,213,89,159,66,302,48,77,89,44,27,15,291
782,411,195,222,217,345,94,634,74,70,165,495,554,46,38,101,82,29,386,275,59,831,1186,82,88,72,361,993,332,128,237,41,146,40,76,116,64,40,14,273
142,148,216,317,97,90,207,80,149,132,50,37,37,123,70,94,134,75,37,56,98,59,58,54,7,95,31,45,58,214,13,54,86,84,46,72,67,93,120,54
723,218,264,146,270,183,83,1193,62,84,251,788,376,51,105,78,197,54,237,877,62,1218,1452,48,129,52,654,946,991,249,272,48,95,28,276,512,130,38,41,476
777,328,228,153,283,257,102,853,59,80,267,1334,468,57,50,80,149,45,247,861,51,1554,1698,58,169,65,856,1505,538,179,417,36,99,40,161,263,100,46,31,462
101,266,98,195,76,189,263,89,132,107,34,48,65,103,35,233,82,32,120,40,68,33,52,48,28,121,19,81,73,115,40,84,137,62,29,39,67,57,55,43
85,89,27,22,42,99,20,79,7,8,39,312,50,5,9,21,9,3,64,38,2,106,137,11,46,20,38,70,78,22,163,4,29,8,26,36,22,4,3,28
