0,-628.2500000000005,7362,-1585
1,-587.8499999999997,7621,-1372
2,-577.1,7650,-1271
3,-598.15,7706,-1291
4,-591.3399999999997,7830,-1281
5,-616.6100000000002,7457,-1539
6,-570.8299999999997,7548,-1199
7,-596.2899999999997,7674,-1332
8,-607.5300000000001,7655,-1394
9,-574.0999999999996,7603,-1283
10,-471.06000000000034,8362,-668
11,-471.88000000000017,8551,-581
12,-499.77000000000044,8390,-767
13,-457.83000000000027,8372,-616
14,-419.01000000000016,8502,-472
15,-531.14,8091,-897
16,-514.6400000000003,8043,-860
17,-510.2999999999997,8314,-835
18,-465.59999999999997,8447,-632
19,-442.5800000000002,8487,-568
20,-520.2900000000008,7988,-936
21,-566.9299999999994,7660,-1320
22,-495.1799999999995,8046,-840
23,-467.8400000000002,8422,-654
24,-433.08999999999986,8309,-554
25,-517.6000000000008,8018,-933
26,-486.6700000000004,8142,-790
27,-434.78999999999957,8364,-590
28,-453.19999999999965,8281,-672
29,-419.4999999999997,8251,-534
30,-396.7800000000005,8503,-508
31,-468.4399999999999,8263,-805
32,-445.1200000000004,8329,-699
33,-460.2300000000002,8549,-677
34,-413.6699999999997,8415,-531
35,-437.9300000000006,8412,-631
36,-403.29000000000053,8462,-498
37,-470.26000000000045,8117,-850
38,-429.54000000000025,8333,-652
39,-436.00000000000045,8305,-669
40,-430.52000000000044,8469,-610
41,-413.1399999999994,8467,-501
42,-424.1399999999998,8426,-606
43,-438.05000000000035,8408,-665
44,-423.48999999999984,8181,-675
45,-428.5899999999993,8506,-672
46,-436.92000000000036,8301,-693
47,-415.78,8435,-590
48,-371.5400000000003,8535,-431
49,-352.55000000000024,8585,-409
50,-415.88999999999953,8287,-632
51,-387.1799999999995,8515,-485
52,-351.5900000000002,8519,-361
53,-385.7599999999993,8483,-559
54,-354.4500000000004,8529,-439
55,-360.4400000000003,8734,-454
56,-342.0600000000004,8728,-334
57,-304.35999999999945,8879,-212
58,-396.2100000000007,8387,-593
59,-321.21000000000015,8673,-294
60,-335.4300000000003,8690,-372
61,-296.46999999999974,8790,-242
62,-290.75,8697,-222
63,-308.01999999999975,8683,-217
64,-265.7299999999999,8821,-162
65,-257.1999999999997,8769,-129
66,-351.9899999999998,8609,-447
67,-329.76999999999975,8724,-380
68,-296.7200000000007,8849,-233
69,-302.11999999999983,8824,-260
70,-256.5600000000001,8909,-121
71,-273.0999999999999,9011,-156
72,-309.6899999999997,8904,-273
73,-257.19000000000005,8875,-156
74,-258.79,8877,-144
75,-309.29000000000065,8719,-283
76,-288.48999999999984,8818,-183
77,-318.2099999999999,8708,-268
78,-265.02999999999963,8820,-154
79,-279.72000000000025,8824,-167
80,-219.48999999999975,8929,-49
81,-211.17999999999984,8896,-43
82,-208.85999999999993,8745,-66
83,-208.02999999999986,9013,-32
84,-207.47999999999988,8964,-53
85,-293.09000000000003,8902,-214
86,-304.23000000000025,8708,-330
87,-245.6599999999999,8915,-128
88,-218.46000000000006,8877,-63
89,-283.85,8835,-239
90,-229.4800000000002,8889,-113
91,-285.26000000000033,9013,-241
92,-215.26000000000005,9128,-87
93,-175.72000000000006,8952,-12
94,-202.36999999999964,8939,-55
95,-184.7800000000001,8901,-56
96,-229.61999999999986,8858,-85
97,-201.09000000000006,8818,-40
98,-194.49000000000012,9006,-70
99,-198.3900000000002,8847,-70
100,-194.08999999999986,8829,-64
101,-212.55000000000024,8835,-118
102,-206.86999999999978,8856,-79
103,-202.09000000000026,8975,-90
104,-212.07000000000002,8922,-75
105,-189.35000000000036,8978,-62
106,-191.1299999999999,9017,-53
107,-187.40999999999977,9001,-59
108,-197.13999999999976,9003,-100
109,-263.1200000000005,8764,-195
